m,M,K,Nr,Epsilon,Sc,E1,phi1,phi2,Gamma,Pb,Sb,Skin -TiO_2,Nusselt-TiO_2,Sherwood-TiO_2,microorganism-TiO_2,Skin -TiO_2/Ag,Nusselt-TiO_2-Ag,Sherwood-TiO_2/Ag,microorganism-TiO_2/Ag
0.0,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.906477203,1.602143543,0.946879856,0.767735806,-3.132656787,1.587357342,0.945017486,0.762887073
0.01,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.909059683,1.602498785,0.946808265,0.767634612,-3.135094028,1.58765439,0.94495491,0.76279732
0.02,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.911639424,1.602853062,0.94673687,0.767533682,-3.137528932,1.587950677,0.944892493,0.762707785
0.03,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.914216434,1.60320638,0.94666567,0.767433014,-3.139961505,1.588246206,0.944830235,0.762618468
0.04,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.916790723,1.603558742,0.946594663,0.767332608,-3.142391754,1.588540982,0.944768136,0.762529369
0.05,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.919362297,1.603910153,0.94652385,0.767232463,-3.144819685,1.588835006,0.944706195,0.762440485
0.06,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.921931165,1.604260616,0.946453229,0.767132578,-3.147245304,1.589128281,0.944644412,0.762351816
0.07,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.924497335,1.604610136,0.9463828,0.767032951,-3.149668618,1.589420812,0.944582785,0.762263362
0.08,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.927060816,1.604958717,0.946312561,0.766933582,-3.152089633,1.5897126,0.944521315,0.762175121
0.09,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.929621614,1.605306363,0.946242512,0.76683447,-3.154508355,1.590003649,0.94446,0.762087093
0.1,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.932179738,1.605653078,0.946172652,0.766735613,-3.156924791,1.590293961,0.94439884,0.761999277
0.11,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.934735196,1.605998865,0.946102981,0.766637011,-3.159338946,1.590583541,0.944337834,0.761911673
0.12,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.937287996,1.60634373,0.946033497,0.766538662,-3.161750335,1.590872275,0.944276972,0.761824269
0.13,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.939838146,1.606687676,0.9459642,0.766440565,-3.164159947,1.591160397,0.944216273,0.761737084
0.14,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.942385653,1.607030706,0.945895089,0.76634272,-3.166567297,1.591447793,0.944155727,0.761650108
0.15,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.944930525,1.607372825,0.945826163,0.766245125,-3.168972392,1.591734468,0.944095333,0.761563341
0.16,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.947472771,1.607714037,0.945757422,0.76614778,-3.171375236,1.592020425,0.94403509,0.76147678
0.17,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.950012397,1.608054346,0.945688864,0.766050683,-3.173775837,1.592305665,0.943974999,0.761390426
0.18,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.952549412,1.608393754,0.945620489,0.765953834,-3.176174201,1.592590193,0.943915057,0.761304278
0.19,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.955083822,1.608732268,0.945552296,0.765857231,-3.178570333,1.59287401,0.943855265,0.761218335
0.2,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.957615637,1.609069889,0.945484285,0.765760874,-3.180964239,1.593157121,0.943795622,0.761132595
0.21,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.960144863,1.609406622,0.945416454,0.765664761,-3.183355927,1.593439526,0.943736127,0.76104706
0.22,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.962671509,1.609742471,0.945348803,0.765568891,-3.1857454,1.59372123,0.94367678,0.760961727
